,0
2022-06-02,14.236790574827234
2022-06-03,12.749696631872638
2022-06-06,12.643779028297594
2022-06-07,12.375803938105761
2022-06-08,11.6617057148134
2022-06-09,12.29787300166305
2022-06-10,11.612043640965808
2022-06-13,9.345380618060236
2022-06-14,9.79451077425707
2022-06-15,9.879273473023533
2022-06-16,7.5381901536725255
2022-06-17,7.002295451613582
2022-06-20,-2.4444286803173156
2022-06-21,18.810711391828974
2022-06-22,7.280581738895927
2022-06-23,16.636567761534508
2022-06-24,25.96108115648419
2022-06-27,26.52516479558796
2022-06-28,27.048584860088305
2022-06-29,26.882724659908614
2022-06-30,26.408820360391683
2022-07-01,27.29122247659913
2022-07-04,28.085314715747707
2022-07-05,27.737280458606353
2022-07-06,29.614811312858368
2022-07-07,30.382101990158944
2022-07-08,30.719854594393553
