,0
2022-05-27,-9.8801870435528
2022-05-30,-8.578340424425027
2022-05-31,-8.30593831096261
2022-06-01,-8.317688136423214
2022-06-02,-8.28398375854589
2022-06-03,-9.39852046326205
2022-06-06,-9.512381294525154
2022-06-07,-9.84375451864341
2022-06-08,-10.623112857943463
2022-06-09,-9.890027565725495
2022-06-10,-10.851034536695094
2022-06-13,-13.584149598701012
2022-06-14,-13.190260575715799
2022-06-15,-13.219585783668627
2022-06-16,-15.508959084999653
2022-06-17,-16.10046004477243
2022-06-20,-17.297934674145132
2022-06-21,-14.87367055455753
2022-06-22,-16.138024771903247
2022-06-23,-14.278096629221029
2022-06-24,-12.861702034623896
2022-06-27,-12.221071897522734
2022-06-28,-11.541111433685368
2022-06-29,-11.383911626216676
2022-06-30,-12.117696498528588
